respondent_id,h1n1_vaccine,seasonal_vaccine
26801,0.242071524,0.324648041
26802,0.157258489,0.269233161
26803,0.033955761,0.134620224
26804,0.054538827,0.069586452
26805,0.044280723,0.170765032
26806,0.02442087,0.922354102
26807,0.378036064,0.884739487
26808,0.037213404,0.342415704
26809,0.411489403,0.171326424
26810,0.035669536,0.117211216
26811,0.022424472,0.071418002
26812,0.276174106,0.799720839
26813,0.63031723,0.454269474
26814,0.017832245,0.631544677
26815,0.023560453,0.072257127
26816,0.0517382,0.137266907
26817,0.029428546,0.491811354
26818,0.085138826,0.277221819
26819,0.177586401,0.292666244
26820,0.057240977,0.217667779
26821,0.040936109,0.623235211
26822,0.093922678,0.633909367
26823,0.445734169,0.560794301
26824,0.021090914,0.654110653
26825,0.436267246,0.766011182
26826,0.038547244,0.606394649
26827,0.025760224,0.103044277
26828,0.044355072,0.434486118
26829,0.791423949,0.942030566
26830,0.02709075,0.734555423
26831,0.127162645,0.86399785
26832,0.048054646,0.802017335
26833,0.028641158,0.46930583
26834,0.204056037,0.491061684
26835,0.298593479,0.865590725
26836,0.332949958,0.721006406
26837,0.119093392,0.049281454
26838,0.129540247,0.431782003
26839,0.10220728,0.373760642
26840,0.08948173,0.126604653
26841,0.402570723,0.783014094
26842,0.081433461,0.182974476
26843,0.031654065,0.05479164
26844,0.027673575,0.342871712
26845,0.026863538,0.712630374
26846,0.041951376,0.868303002
26847,0.344760306,0.285650597
26848,0.027007788,0.703921678
26849,0.472353424,0.579245122
26850,0.503756129,0.605780391
26851,0.044026003,0.051212367
26852,0.03966241,0.071662585
26853,0.203368689,0.406668839
26854,0.020193799,0.080738826
26855,0.350118659,0.801136195
26856,0.067853259,0.049076733
26857,0.518341658,0.216751313
26858,0.184661735,0.702780776
26859,0.033541305,0.11506881
26860,0.095679007,0.124046261
26861,0.030859892,0.109173186
26862,0.0297075,0.223641152
26863,0.086242586,0.375834931
26864,0.307217216,0.363666454
26865,0.025273027,0.042125744
26866,0.072706473,0.549040132
26867,0.124944171,0.142904051
26868,0.892993353,0.92638468
26869,0.035612185,0.228320188
26870,0.842524964,0.944840337
26871,0.030010347,0.038135249
26872,0.04330593,0.25221993
26873,0.066566907,0.748680362
26874,0.076049485,0.157034003
26875,0.307414945,0.887588075
26876,0.056885757,0.056119285
26877,0.195961721,0.160997924
26878,0.08745956,0.235906158
26879,0.01202898,0.044226416
26880,0.086462568,0.170077794
26881,0.023760198,0.07586258
26882,0.043062068,0.076705752
26883,0.070495172,0.254865012
26884,0.266881326,0.230614656
26885,0.150624479,0.685987136
26886,0.058029373,0.855458368
26887,0.720419467,0.87059891
26888,0.940723393,0.969551331
26889,0.013702141,0.059128179
26890,0.06392582,0.330742476
26891,0.644431446,0.7328844
26892,0.055223347,0.583637028
26893,0.053119162,0.136552681
26894,0.254310135,0.378012695
26895,0.037088351,0.798294931
26896,0.048365976,0.058386064
26897,0.074339097,0.479627562
26898,0.107586417,0.532478602
26899,0.026992496,0.056502984
26900,0.103780657,0.270640443
26901,0.031466457,0.282862527
26902,0.101232758,0.907566545
26903,0.126117096,0.076025151
26904,0.089271932,0.34483498
26905,0.281456521,0.832426842
26906,0.029123387,0.352456146
26907,0.017497053,0.587435761
26908,0.055364963,0.715967093
26909,0.157401429,0.251702555
26910,0.074196489,0.264766911
26911,0.070766789,0.111633737
26912,0.475734988,0.933586484
26913,0.582311836,0.787427371
26914,0.038818557,0.141331359
26915,0.095587006,0.573738484
26916,0.030595658,0.321199101
26917,0.011958019,0.024054594
26918,0.918180815,0.951370747
26919,0.078912464,0.392756623
26920,0.020793654,0.09691489
26921,0.152662909,0.911367278
26922,0.022714065,0.736605226
26923,0.156410368,0.436299602
26924,0.88118276,0.942568653
26925,0.126461613,0.740432381
26926,0.483547975,0.499175738
26927,0.441368195,0.648896025
26928,0.151689939,0.660710255
26929,0.088251106,0.176991205
26930,0.559347661,0.845832766
26931,0.206695093,0.384158946
26932,0.143943167,0.932552323
26933,0.028801686,0.646226124
26934,0.277425141,0.615405127
26935,0.086891603,0.454588585
26936,0.386397036,0.137212511
26937,0.152661902,0.796452862
26938,0.039821461,0.052880298
26939,0.118388492,0.0918298
26940,0.110719968,0.126243395
26941,0.122419267,0.413622517
26942,0.715974484,0.862510624
26943,0.063752479,0.589693283
26944,0.036993775,0.166416016
26945,0.043526714,0.563589733
26946,0.056194616,0.708232434
26947,0.377757387,0.581460989
26948,0.044732587,0.085275623
26949,0.026701409,0.076400088
26950,0.025528624,0.371163091
26951,0.112910897,0.359665746
26952,0.83880443,0.938586778
26953,0.470266662,0.920855792
26954,0.011359182,0.099902911
26955,0.072507422,0.749208328
26956,0.278651747,0.277043321
26957,0.050590748,0.944922505
26958,0.061646164,0.710075474
26959,0.05679522,0.199178388
26960,0.022639431,0.064703279
26961,0.369326725,0.555122343
26962,0.109461313,0.841765388
26963,0.072634324,0.25547112
26964,0.044090904,0.17216646
26965,0.479744078,0.886905579
26966,0.041583803,0.088763864
26967,0.261950169,0.540473776
26968,0.089759739,0.846678646
26969,0.073190758,0.233049905
26970,0.699651185,0.467752029
26971,0.121120446,0.241331799
26972,0.027854135,0.044755216
26973,0.06290812,0.129619473
26974,0.186612847,0.334380306
26975,0.167573354,0.724194573
26976,0.931355601,0.617745747
26977,0.116996598,0.35932672
26978,0.036000826,0.857104787
26979,0.538669014,0.790735858
26980,0.035906217,0.0809056
26981,0.034741786,0.382344192
26982,0.771645256,0.91393863
26983,0.209982168,0.582843458
26984,0.026393328,0.116918061
26985,0.027216985,0.088974124
26986,0.085545273,0.421428256
26987,0.031097098,0.15984964
26988,0.01541573,0.107041994
26989,0.351004498,0.850710341
26990,0.016681534,0.074524147
26991,0.139360182,0.384437858
26992,0.344769024,0.44537062
26993,0.060242661,0.817392643
26994,0.20661712,0.422413551
26995,0.084445269,0.371615662
26996,0.552552539,0.356074662
26997,0.018498585,0.058255191
26998,0.033496117,0.054916543
26999,0.255029266,0.460717211
27000,0.034946114,0.349330415
27001,0.023886007,0.801399314
27002,0.025847439,0.272134189
27003,0.012790645,0.031852377
27004,0.256056057,0.276405983
27005,0.402640672,0.833831802
27006,0.847091922,0.879159552
27007,0.0184731,0.071327026
27008,0.051847567,0.062274148
27009,0.121812146,0.297881501
27010,0.029220892,0.16934305
27011,0.045757129,0.141606032
27012,0.263516205,0.57612891
27013,0.151503474,0.446466231
27014,0.051227745,0.27188257
27015,0.194113395,0.205926988
27016,0.100363753,0.318370969
27017,0.557181304,0.80259617
27018,0.033479817,0.289828994
27019,0.933157993,0.977072893
27020,0.277180222,0.240471126
27021,0.436637424,0.64656175
27022,0.080740774,0.216373164
27023,0.079676097,0.157791685
27024,0.082940222,0.46635634
27025,0.139759878,0.068090543
27026,0.036768732,0.366870917
27027,0.037676815,0.853713598
27028,0.474942684,0.867124922
27029,0.199689042,0.267044696
27030,0.250137662,0.268127285
27031,0.447372444,0.888543204
27032,0.132741742,0.557600841
27033,0.449220217,0.735139354
27034,0.01839829,0.636001993
27035,0.214038869,0.261735507
27036,0.268199346,0.760677998
27037,0.643326657,0.786665909
27038,0.019900436,0.037322656
27039,0.427084355,0.859745463
27040,0.089587834,0.271710432
27041,0.046672284,0.630268817
27042,0.029776448,0.517891577
27043,0.532037673,0.778707488
27044,0.016932655,0.041669314
27045,0.043091977,0.461362621
27046,0.071722757,0.17986439
27047,0.463536735,0.474912979
27048,0.079669359,0.48792079
27049,0.200705653,0.871022539
27050,0.080685413,0.624087888
27051,0.23499626,0.319043367
27052,0.024004415,0.251560842
27053,0.876404447,0.946992565
27054,0.031880645,0.078577885
27055,0.044775234,0.861179468
27056,0.049518056,0.056670912
27057,0.016444236,0.016779074
27058,0.93074704,0.939324057
27059,0.099328606,0.17300208
27060,0.038948957,0.354763831
27061,0.02922145,0.350397799
27062,0.081174345,0.546368649
27063,0.026700413,0.479583532
27064,0.125229393,0.569432801
27065,0.078177316,0.394542464
27066,0.074079355,0.619112899
27067,0.636897778,0.790624967
27068,0.628505344,0.878475363
27069,0.704116478,0.941829727
27070,0.02575152,0.055357536
27071,0.04667964,0.074339499
27072,0.10906628,0.698246966
27073,0.052507368,0.888234524
27074,0.094139037,0.320398736
27075,0.438415335,0.709981184
27076,0.760984017,0.794192209
27077,0.045800161,0.103370595
27078,0.122854302,0.813720447
27079,0.121263587,0.886650536
27080,0.095867654,0.175990591
27081,0.057747771,0.776722519
27082,0.172629417,0.31205726
27083,0.081725577,0.288415407
27084,0.894065151,0.782596461
27085,0.018318244,0.041108429
27086,0.035330893,0.09371068
27087,0.073332664,0.237175434
27088,0.342240819,0.638938073
27089,0.182803764,0.18232793
27090,0.400486286,0.690611607
27091,0.753596614,0.385179594
27092,0.154220255,0.272796949
27093,0.221019439,0.25887445
27094,0.030534848,0.053579467
27095,0.053923419,0.520964715
27096,0.051696001,0.246850351
27097,0.418795087,0.575757947
27098,0.62588328,0.852251023
27099,0.263611743,0.582962709
27100,0.07224282,0.866941025
27101,0.065320866,0.665714489
27102,0.135792174,0.832039431
27103,0.025367343,0.075086384
27104,0.351390399,0.502554062
27105,0.067643426,0.370770477
27106,0.801062567,0.870172058
27107,0.578541608,0.905858213
27108,0.308575215,0.373512152
27109,0.111578633,0.148071913
27110,0.041280582,0.240748531
27111,0.0835122,0.442426477
27112,0.321151385,0.631625301
27113,0.11181706,0.163117225
27114,0.081892034,0.227322733
27115,0.671955366,0.882241
27116,0.039423927,0.920230372
27117,0.023270131,0.069924607
27118,0.068569681,0.550210079
27119,0.07989457,0.20621708
27120,0.155018135,0.953554672
27121,0.033679739,0.845268006
27122,0.020356301,0.276895414
27123,0.104964848,0.18033968
27124,0.032250833,0.105256551
27125,0.022038662,0.026031885
27126,0.251701382,0.095498755
27127,0.070984409,0.115613641
27128,0.210850491,0.612016737
27129,0.175175174,0.451500139
27130,0.092438063,0.240798558
27131,0.142827778,0.122370382
27132,0.274194319,0.868406462
27133,0.041876983,0.544810707
27134,0.881394628,0.960907691
27135,0.027328476,0.328460067
27136,0.117850098,0.598929481
27137,0.101868276,0.172831867
27138,0.110451966,0.477877384
27139,0.055854395,0.164167108
27140,0.943754042,0.967897626
27141,0.690437103,0.740462978
27142,0.029651283,0.230508173
27143,0.293497856,0.477735805
27144,0.035277516,0.061985589
27145,0.569308947,0.705756817
27146,0.081977925,0.94844345
27147,0.039871078,0.347192526
27148,0.072634646,0.114197804
27149,0.193467875,0.134458942
27150,0.412617056,0.934025323
27151,0.298959406,0.834432373
27152,0.041641248,0.186172183
27153,0.338211607,0.842174486
27154,0.813322938,0.913375897
27155,0.218831162,0.664202281
27156,0.012429181,0.278757546
27157,0.03110896,0.570881777
27158,0.037517611,0.294983667
27159,0.054356738,0.146011591
27160,0.172371971,0.208564196
27161,0.412718761,0.530723902
27162,0.070920436,0.891486687
27163,0.442105034,0.482574339
27164,0.117735575,0.137255515
27165,0.631594765,0.765522133
27166,0.153353616,0.220193306
27167,0.088353599,0.572093717
27168,0.06105501,0.614658116
27169,0.483970464,0.608986806
27170,0.580917258,0.916887341
27171,0.033917293,0.263915575
27172,0.076728728,0.855583096
27173,0.424399825,0.582386813
27174,0.031471156,0.078745509
27175,0.034535744,0.122409802
27176,0.705763315,0.938585817
27177,0.893834393,0.944439706
27178,0.060728805,0.300175622
27179,0.081238802,0.215718477
27180,0.121393165,0.352216802
27181,0.044103726,0.867226051
27182,0.45390177,0.871587082
27183,0.02280384,0.646411949
27184,0.047320044,0.396783255
27185,0.276187057,0.728371741
27186,0.179824871,0.741993299
27187,0.086629073,0.175079252
27188,0.065028342,0.374338025
27189,0.201437973,0.783507586
27190,0.219591903,0.807958703
27191,0.265493475,0.954120334
27192,0.240205113,0.725347218
27193,0.012304702,0.101324006
27194,0.13468023,0.387132153
27195,0.030463987,0.143832907
27196,0.158314443,0.241893049
27197,0.093619225,0.868687284
27198,0.635729755,0.949345211
27199,0.061774608,0.288094775
27200,0.223916119,0.456580777
27201,0.477262682,0.86741177
27202,0.062797249,0.105954426
27203,0.029193241,0.08517513
27204,0.039195415,0.059617017
27205,0.149446661,0.241259455
27206,0.199365609,0.253841169
27207,0.1936143,0.183954126
27208,0.845536687,0.730334756
27209,0.309672042,0.299337577
27210,0.130045909,0.314261121
27211,0.051952107,0.258677753
27212,0.336212234,0.920764262
27213,0.351486232,0.44396729
27214,0.037921357,0.066515628
27215,0.110649704,0.723564278
27216,0.175096376,0.906693149
27217,0.084268811,0.198095698
27218,0.748682662,0.947135555
27219,0.657004948,0.704777783
27220,0.267361583,0.388801209
27221,0.049801295,0.750181383
27222,0.100878453,0.516445448
27223,0.025609806,0.657157724
27224,0.122766222,0.625067059
27225,0.322166281,0.303899981
27226,0.032443039,0.22192087
27227,0.20644862,0.29794743
27228,0.512422441,0.814453517
27229,0.62165,0.897166439
27230,0.297212718,0.969652688
27231,0.40111496,0.872458478
27232,0.093534063,0.543752809
27233,0.418296407,0.264600733
27234,0.030672308,0.065818336
27235,0.954024383,0.966628405
27236,0.109158763,0.930551869
27237,0.582357748,0.702389825
27238,0.501669621,0.801228466
27239,0.197559656,0.160412631
27240,0.052776872,0.374761212
27241,0.080020815,0.189091558
27242,0.151723954,0.498886396
27243,0.075825931,0.118654613
27244,0.022876016,0.089541015
27245,0.055798353,0.321653562
27246,0.837936639,0.939617499
27247,0.246286627,0.941306517
27248,0.190474119,0.728205953
27249,0.064266588,0.525638252
27250,0.09377875,0.240066737
27251,0.042417396,0.392113781
27252,0.238024706,0.562555515
27253,0.032321214,0.862547164
27254,0.933488457,0.97132777
27255,0.273019142,0.326281004
27256,0.766972154,0.961101742
27257,0.409714643,0.510667003
27258,0.268858108,0.75312294
27259,0.444652736,0.852725275
27260,0.275480379,0.462033883
27261,0.251253467,0.831180027
27262,0.066824254,0.417831059
27263,0.072029041,0.068052502
27264,0.051739727,0.094926377
27265,0.066804144,0.244094033
27266,0.139926596,0.261627595
27267,0.09589285,0.676094133
27268,0.021012777,0.071989592
27269,0.783877598,0.496723484
27270,0.029474529,0.114445086
27271,0.017430811,0.201548016
27272,0.025766115,0.369891603
27273,0.067049513,0.242914425
27274,0.195713764,0.438388317
27275,0.289589532,0.436508414
27276,0.010030828,0.078803235
27277,0.053132383,0.896064583
27278,0.068245261,0.210841461
27279,0.044183063,0.181793616
27280,0.322506512,0.442313001
27281,0.06909564,0.22260319
27282,0.094233622,0.901378786
27283,0.037009044,0.099174794
27284,0.304759759,0.422058735
27285,0.058885286,0.458328581
27286,0.16765616,0.542554246
27287,0.120891755,0.565846095
27288,0.728468926,0.775953307
27289,0.208160072,0.373406634
27290,0.016393886,0.094231731
27291,0.596528052,0.907756592
27292,0.063042842,0.586826205
27293,0.042233863,0.941094915
27294,0.039427975,0.072706026
27295,0.494138508,0.9282602
27296,0.118481185,0.758270365
27297,0.066476428,0.837383335
27298,0.054305126,0.312882967
27299,0.296517965,0.673522092
27300,0.04866237,0.892034986
27301,0.020097393,0.046743371
27302,0.316517511,0.811794927
27303,0.082195975,0.186237101
27304,0.046028237,0.829829909
27305,0.023051779,0.032087377
27306,0.318818087,0.660553727
27307,0.833063571,0.844411122
27308,0.269296764,0.233494366
27309,0.740277162,0.966605122
27310,0.035435678,0.213268663
27311,0.070663606,0.135263719
27312,0.075987375,0.472604261
27313,0.030036398,0.098486485
27314,0.047683913,0.065488816
27315,0.04809965,0.253475886
27316,0.248244716,0.724459337
27317,0.082177815,0.177700105
27318,0.239990152,0.340935222
27319,0.263428783,0.880790499
27320,0.114182229,0.634462166
27321,0.070429814,0.767300373
27322,0.798523565,0.6417633
27323,0.032441903,0.424048353
27324,0.154453477,0.654794835
27325,0.837349259,0.92459353
27326,0.056296293,0.666544929
27327,0.240330605,0.477076873
27328,0.337031595,0.485238513
27329,0.157721288,0.270585519
27330,0.019509814,0.50219624
27331,0.089864807,0.166063913
27332,0.071212076,0.879837553
27333,0.786094939,0.803613116
27334,0.053884527,0.04956525
27335,0.224250438,0.152131553
27336,0.089545805,0.171955543
27337,0.295071546,0.852020686
27338,0.32355026,0.443767437
27339,0.145165362,0.248599904
27340,0.013381792,0.163790076
27341,0.238458536,0.632114751
27342,0.08154032,0.627746717
27343,0.058330864,0.090748765
27344,0.440027837,0.567748701
27345,0.042385455,0.244591652
27346,0.429111376,0.893735675
27347,0.867044423,0.906923553
27348,0.052092235,0.246507627
27349,0.079742984,0.215045285
27350,0.056876865,0.900252572
27351,0.656848667,0.849028903
27352,0.102302528,0.334897564
27353,0.016348311,0.093204992
27354,0.291643672,0.830649982
27355,0.251498168,0.297878685
27356,0.242825702,0.621827102
27357,0.097228914,0.338770074
27358,0.538384496,0.76105179
27359,0.47745943,0.762994064
27360,0.169856615,0.569896167
27361,0.022494011,0.875716626
27362,0.307930811,0.53816734
27363,0.11972497,0.179215044
27364,0.054289203,0.411254874
27365,0.273772656,0.577960658
27366,0.246404535,0.732454687
27367,0.160165875,0.439539345
27368,0.04174098,0.605770746
27369,0.030870641,0.053491688
27370,0.029386102,0.856120114
27371,0.205449342,0.330227688
27372,0.083343182,0.186841777
27373,0.894544264,0.796059341
27374,0.025617781,0.273621169
27375,0.071063231,0.892200013
27376,0.439276616,0.366656704
27377,0.12655701,0.665485432
27378,0.063259944,0.138674997
27379,0.041268467,0.223362792
27380,0.0725815,0.870015232
27381,0.040939859,0.586031173
27382,0.179643973,0.14080218
27383,0.07200891,0.588864256
27384,0.044041952,0.480906905
27385,0.094976739,0.935228633
27386,0.119870044,0.830405819
27387,0.630892481,0.833101524
27388,0.166427125,0.271720141
27389,0.069102709,0.183934608
27390,0.025916598,0.063165706
27391,0.183984652,0.791497721
27392,0.901450119,0.921141731
27393,0.01116537,0.073484521
27394,0.020232111,0.48767808
27395,0.719593667,0.750821788
27396,0.089591015,0.084218343
27397,0.913311462,0.955786938
27398,0.122966874,0.713285881
27399,0.175454718,0.589986186
27400,0.083743833,0.823658758
27401,0.241505889,0.375755424
27402,0.191482155,0.798606475
27403,0.082008916,0.20396826
27404,0.225445236,0.203055911
27405,0.759693452,0.907309156
27406,0.040510354,0.182785065
27407,0.115270006,0.158073116
27408,0.133712317,0.651425311
27409,0.86237163,0.967840241
27410,0.02945019,0.154168691
27411,0.153868902,0.161064283
27412,0.133225,0.754513179
27413,0.045604926,0.360873952
27414,0.641484079,0.731361074
27415,0.03996354,0.298692478
27416,0.187035938,0.302219425
27417,0.254307239,0.512894342
27418,0.411338592,0.169672741
27419,0.682406256,0.942188099
27420,0.051291231,0.158138285
27421,0.451580873,0.350377797
27422,0.261579054,0.707338977
27423,0.046102715,0.308631296
27424,0.040578883,0.416789882
27425,0.095515227,0.525434084
27426,0.122311257,0.309004135
27427,0.085367335,0.330175804
27428,0.059503488,0.1328274
27429,0.516791039,0.2521288
27430,0.043931722,0.535355359
27431,0.086216661,0.585556727
27432,0.315157681,0.586479472
27433,0.146595627,0.882343586
27434,0.114885665,0.209994013
27435,0.355015016,0.619111632
27436,0.035076139,0.081129132
27437,0.140904004,0.153998379
27438,0.021614249,0.109172653
27439,0.283761194,0.315585105
27440,0.2435672,0.206987369
27441,0.89512157,0.918228705
27442,0.2460936,0.891684001
27443,0.056417933,0.107818202
27444,0.035367314,0.028072708
27445,0.051522262,0.064396533
27446,0.164523618,0.129986361
27447,0.04856105,0.231631307
27448,0.122080679,0.593230939
27449,0.257751917,0.930897716
27450,0.088478215,0.829533568
27451,0.013892436,0.117215016
27452,0.024379103,0.115833247
27453,0.101861604,0.934482851
27454,0.132080503,0.299123825
27455,0.315524422,0.31378388
27456,0.111699737,0.403520239
27457,0.05288565,0.179629617
27458,0.045069156,0.317886941
27459,0.047870297,0.188718423
27460,0.757519049,0.85568578
27461,0.07836848,0.09270704
27462,0.076487418,0.435985645
27463,0.190274529,0.409842984
27464,0.462814519,0.541749791
27465,0.912229372,0.963030381
27466,0.01807537,0.073842749
27467,0.015635107,0.186500956
27468,0.080598759,0.333541552
27469,0.057686741,0.610987103
27470,0.702931321,0.838069477
27471,0.118146093,0.741835286
27472,0.287846456,0.575208321
27473,0.289016401,0.339345721
27474,0.280513914,0.48815722
27475,0.024286352,0.073877441
27476,0.06753233,0.371435127
27477,0.04477164,0.196407127
27478,0.075162484,0.747162384
27479,0.078995481,0.200213923
27480,0.182966788,0.743122414
27481,0.728547883,0.794898909
27482,0.456188975,0.242547705
27483,0.705439764,0.863532454
27484,0.074759289,0.837192537
27485,0.023566043,0.719911466
27486,0.244264624,0.292585196
27487,0.162997526,0.885184489
27488,0.58670017,0.89863443
27489,0.911641004,0.799764656
27490,0.020247388,0.286585715
27491,0.439462633,0.641461928
27492,0.016363097,0.493971385
27493,0.143253864,0.931396744
27494,0.235204081,0.716666482
27495,0.089709126,0.184363721
27496,0.026893827,0.132191375
27497,0.096660649,0.040152543
27498,0.086056022,0.606145851
27499,0.092353118,0.861496905
27500,0.184800181,0.924386461
27501,0.069511187,0.250160684
27502,0.088372556,0.691462859
27503,0.08449415,0.578020354
27504,0.010066466,0.037911466
27505,0.028113467,0.137160127
27506,0.308550766,0.815457974
27507,0.068888109,0.235561128
27508,0.309264581,0.338340898
27509,0.061726743,0.515960609
27510,0.551793399,0.290916385
27511,0.221126775,0.550302934
27512,0.047168558,0.215803321
27513,0.048160156,0.547498411
27514,0.253307647,0.489398441
27515,0.595049495,0.405670828
27516,0.640979339,0.774306639
27517,0.030776525,0.03548321
27518,0.858572653,0.939659787
27519,0.017998352,0.079821931
27520,0.069695183,0.126476072
27521,0.053600439,0.35296054
27522,0.20373605,0.167930908
27523,0.010573395,0.16054864
27524,0.123034701,0.612529785
27525,0.051487775,0.23014654
27526,0.313681631,0.652220997
27527,0.025379371,0.924665177
27528,0.328972401,0.84148882
27529,0.160748902,0.800036903
27530,0.076110418,0.081528028
27531,0.055470068,0.067857726
27532,0.06719567,0.871429243
27533,0.38416827,0.454891678
27534,0.042159725,0.103045568
27535,0.033102135,0.761805525
27536,0.177423699,0.312244462
27537,0.440154346,0.781481573
27538,0.326742602,0.56056429
27539,0.66647041,0.841363949
27540,0.49019907,0.166018054
27541,0.757907206,0.951670932
27542,0.0360685,0.168990682
27543,0.578541357,0.633775653
27544,0.113076722,0.222239217
27545,0.201082572,0.163620315
27546,0.537093072,0.567494212
27547,0.045185398,0.101414797
27548,0.076714099,0.956284057
27549,0.039663114,0.815789449
27550,0.121591538,0.24144622
27551,0.090088042,0.544501536
27552,0.030021128,0.839091075
27553,0.154635776,0.408440896
27554,0.26298657,0.341223138
27555,0.093641638,0.170545587
27556,0.073319562,0.787615413
27557,0.289224228,0.887850842
27558,0.050142396,0.205871928
27559,0.18801672,0.750350925
27560,0.471226105,0.834861202
27561,0.634330352,0.822439444
27562,0.320233077,0.730249874
27563,0.156070845,0.516009433
27564,0.31814122,0.526904464
27565,0.071583856,0.296484369
27566,0.434220295,0.339171873
27567,0.086207774,0.660001654
27568,0.3795512,0.899251207
27569,0.086181474,0.328968719
27570,0.320463418,0.724607026
27571,0.036092792,0.072085996
27572,0.008159282,0.045996689
27573,0.041970105,0.281955701
27574,0.137751514,0.486927835
27575,0.025371512,0.216394421
27576,0.022297653,0.120062432
27577,0.124489168,0.529044294
27578,0.258667953,0.53884237
27579,0.143321796,0.628469376
27580,0.100062162,0.627003464
27581,0.067148484,0.174200152
27582,0.079796757,0.135547763
27583,0.045790861,0.21381805
27584,0.734840147,0.623949295
27585,0.055245201,0.346841886
27586,0.456408555,0.795261217
27587,0.117262824,0.731055276
27588,0.075657403,0.245345766
27589,0.127213568,0.484390428
27590,0.179668001,0.333440978
27591,0.146899778,0.654426072
27592,0.05595308,0.037526682
27593,0.096899673,0.108585845
27594,0.102359298,0.566404944
27595,0.049446446,0.162484462
27596,0.109460419,0.249325809
27597,0.191918613,0.249718527
27598,0.099725729,0.309757234
27599,0.403339245,0.746734793
27600,0.082762191,0.587670531
27601,0.044694722,0.705241505
27602,0.899888028,0.914247248
27603,0.051146967,0.065869484
27604,0.021640842,0.37041786
27605,0.61836352,0.66173616
27606,0.258233023,0.344454897
27607,0.596550566,0.534770636
27608,0.172739123,0.739461007
27609,0.234279361,0.831023103
27610,0.390075077,0.707399859
27611,0.343061757,0.095852496
27612,0.022969233,0.509969004
27613,0.881031719,0.950318499
27614,0.080003718,0.366648144
27615,0.194107639,0.963127967
27616,0.025883193,0.038343394
27617,0.287856093,0.328308467
27618,0.227638623,0.56839953
27619,0.393299813,0.331474659
27620,0.352465922,0.546148694
27621,0.221748757,0.486151718
27622,0.726140235,0.945612882
27623,0.079539982,0.762586979
27624,0.201181731,0.868926121
27625,0.028424285,0.375222654
27626,0.027899918,0.121075962
27627,0.905564884,0.909142495
27628,0.032592903,0.787245677
27629,0.027155259,0.046302753
27630,0.244238749,0.847311293
27631,0.090690977,0.312609716
27632,0.020501086,0.316113987
27633,0.564740161,0.704709995
27634,0.178563896,0.202572028
27635,0.105049747,0.386203544
27636,0.445043919,0.934864391
